Molecule,SMILES
6dTalOMe-ol,C[C@@H](O)[C@H](O)[C@H](O)[C@H](OC)CO
"2,3-Anhydro-Rib",OC1[C@H](O2)[C@H]2[C@H](O)CO1
GalAGroN,NC(CO[C@H]1C(O[C@@H]([C@@H]([C@@H]1O)O)C(O)=O)O)CO
D-FucOAcOMe,C[C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)OC(C)=O)OC)O
DigOMe,C[C@@H]1[C@@H](O)[C@@H](OC)CC(O)O1
D-Rha-ol,C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
LDManHepOAc,OC1O[C@H]([C@H](CO)O)[C@@H](O)[C@H](OC(C)=O)[C@@H]1O
KdoOPPEtn,O=C(O)C1(O)O[C@H]([C@H](O)CO)[C@H](O)[C@H](OP(OP(OCCN)(O)=O)(O)=O)C1
6dTal,C[C@H]1[C@@H](O)[C@@H](O)[C@@H](O)C(O)O1
L-Tal,OC(O1)[C@H](O)[C@H](O)[C@H](O)[C@@H]1CO
IdoA,O[C@H]1C(O)O[C@@H](C(O)=O)[C@@H](O)[C@@H]1O
AraOAc,OC1[C@H](O)[C@@H](O)[C@@H](OC(C)=O)CO1
L-GalNAmA,OC1O[C@H]([C@H]([C@H]([C@@H]1NC(C)=N)O)O)C(O)=O
D-6dXylHexN4Ulo,C[C@@H]1C([C@@H]([C@H](C(O1)O)O)O)=O
GlcNAcAN,OC1O[C@@H]([C@H]([C@@H]([C@H]1NC(C)=O)O)N)C(O)=O
L-GalOAcNAmA,OC1O[C@H]([C@H]([C@H]([C@@H]1NC(C)=N)O)OC(C)=O)C(O)=O
QuiNGlyAc,C[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)OC(CNC(C)=O)=O)N)O
GalNAcOAcA,OC1O[C@H](C(O)=O)[C@H](O)[C@H](OC(C)=O)[C@H]1NC(C)=O
Tyv,C[C@@H]1[C@@H](O)C[C@H](O)C(O)O1
L-GulNAcAGly,OC(O1)[C@@H](NC(C)=O)[C@@H](O)[C@H](OC([C@@H](N)C)=O)[C@@H]1C(O)=O
Rib,OC1[C@H](O)[C@H](O)[C@H](O)CO1
L-GalNAcA,OC1O[C@@H](C(O)=O)[C@@H](O)[C@@H](O)[C@@H]1NC(C)=O
D-Fucf,C[C@@H](O)[C@H]1[C@H](O)[C@@H](N)C(O)O1
AltNAcA,OC1O[C@@H](C(O)=O)[C@H](O)[C@H](O)[C@H]1NC(C)=O
D-FucNAcN,C[C@@H]1[C@H](N)[C@H](O)[C@@H](NC(C)=O)C(O)O1
LDManHepOPyrP,OC(O1)[C@@H](O)[C@@H](O)[C@H](OC(C(OP(O)(O)=O)=C)O2)[C@H]1[C@@H]2CO
GalGroN,OC1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1OCC(N)CO
L-ThrHexOSA4en,OC1[C@H](O)[C@@H](O)C(OS(=O)(O)=O)=C(C(O)=O)O1
D-4dLyxHex,OC1[C@@H](O)[C@@H](O)C[C@@H](CO)O1
Par,C[C@@H]1[C@@H](O)C[C@@H](O)C(O)O1
RhaOAc,C[C@H]1[C@H](O)[C@@H](O)[C@@H](OC(C)=O)C(O)O1
"2,5-Anhydro-Man",O=C[C@@H](O1)[C@@H](O)[C@H](O)[C@H]1CO
Dig,C[C@@H]1[C@@H](O)[C@@H](O)CC(O)O1
GlcOAcOFer,OC(O1)[C@H](OC(C)=O)[C@@H](O)[C@H](OC(/C=C/C2=CC(OC)=C(O)C=C2)=O)[C@H]1CO
Leg,C[C@@H](O)[C@@H](N)[C@H]1[C@H](N)[C@@H](O)C[C@](C(O)=O)(O)O1
Rib-ol,OC[C@@H](O)[C@@H](O)[C@@H](O)CO
GlcN-ol,OC[C@H](N)[C@@H](O)[C@H](O)[C@H](O)CO
8eLegNAcNAc,C[C@H](O)[C@@H](NC(C)=O)[C@H]1[C@H](NC(C)=O)[C@@H](O)C[C@](C(O)=O)(O)O1
GalOMeA,O[C@H]1C(O)O[C@H](C(OC)=O)[C@H](O)[C@@H]1O
NeuNAcOMe,O=C(OC)C1(O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(C)=O)[C@@H](O)C1
GlcOAcN,OC(O1)[C@H](N)[C@@H](O)[C@H](O)[C@H]1COC(C)=O
XlufOMe,OCC1(O)[C@@H](OC)[C@H](O)CO1
RibOP-ol,OC[C@H]([C@H]([C@H](COP(O)(O)=O)O)O)O
L-ThrHexA4en,OC1[C@H](O)[C@@H](O)C(O)=C(C(O)=O)O1
QuiNAcOAc,C[C@@H]1[C@@H](OC(C)=O)[C@H](O)[C@@H](NC(C)=O)C(O)O1
Xylf,OC(O1)[C@H](O)[C@@H](O)[C@H]1CO
QuiNAlaButGro,C[C@@H]1[C@@H](OCC(O)CO)[C@H](N)[C@@H](OC([C@@H](NC(CCC)=O)C)=O)C(O)O1
D-AraHex,OC1OC(CO)[C@@H](O)[C@@H](O)[C@@H]1O
D-FucNAcOAc,C[C@@H]1[C@H](OC(C)=O)[C@H](O)[C@@H](NC(C)=O)C(O)O1
Man-ol,OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
RibOPOPGro-ol,OC[C@H](OP(OCC(O)CO)(O)=O)[C@H](O)[C@H](O)COP(O)(O)=O
aldehyde-L-Gro,O=C[C@@H](O)CO
6dAltfOAc,C[C@@H]([C@H]1[C@@H]([C@H](C(O1)O)OC(C)=O)O)O
6dAltf,C[C@@H]([C@H]1[C@@H]([C@H](C(O1)O)O)O)O
GalOSA,OC1O[C@H](C(O)=O)[C@H](O)[C@H](O)[C@H]1OS(=O)(O)=O
D-4dAraHex,O[C@H]1[C@H](O)C(O)O[C@H](CO)C1
ManOPEtn,OC1O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)COP(O)(OCCN)=O
D-FucNBut,C[C@@H]1[C@H](O)[C@H](O)[C@@H](NC(CCC)=O)C(O)O1
L-GulNAcA,OC1O[C@@H](C(O)=O)[C@@H](O)[C@H](O)[C@@H]1NC(C)=O
AllOMe,OC(O1)[C@H](O)[C@H](OC)[C@H](O)[C@H]1CO
Ole,C[C@@H]1[C@@H](O)[C@H](OC)CC(O)O1
Ery,OC1[C@H](O)[C@H](O)CO1
GalNAcOAcOMeA,OC1O[C@H](C(O)=O)[C@H](OC)[C@H](OC(C)=O)[C@H]1NC(C)=O
LyxHex,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)C1CO
L-GulNAcOEtA,OC1O[C@@H](C(O)=O)[C@@H](O)[C@H](OCC)[C@@H]1NC(C)=O
L-Man,OC(O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1CO
