Molecule,SMILES
GlcOPNOPam,OC(O1)[C@H](N)[C@@H](O)[C@H](OC(CCCCCCCCCCCCCCC)=O)[C@H]1COP(O)(O)=O
GalF,OC(O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CF
GalASer,OC(O1)[C@H](OC([C@@H](N)CO)=O)[C@@H](O)[C@@H](O)[C@H]1C(O)=O
EryHexA3en,OC1[C@H](O)C(O)=C(O)[C@@H](CO)O1
ManNAcOPEtn,OC(O1)[C@@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1COP(OCCN)(O)=O
6dTalOAcOAc,C[C@H]1[C@@H](OC(C)=O)[C@@H](O)[C@@H](OC(C)=O)C(O)O1
LegNAcNAc,C[C@@H](O)[C@@H](NC(C)=O)[C@H]1[C@H](NC(C)=O)[C@@H](O)C[C@](C(O)=O)(O)O1
DLGalNonUloNAcN,OC1(CO)[C@@H](O)[C@H](O)[C@H](N)[C@H]([C@H](NC(C)=O)C(O)CO)O1
QuiNHseGro,C[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N[C@@H](C(O)=O)CCO)O)OCC(CO)O
GlcNAcOAcOCmOVac,OC(O1)[C@H](NC(C)=O)[C@@H](OC(C)=O)[C@H](OC(N)=O)[C@H]1COC(CCCCCCCCC/C=C/CCCCCC)=O
FucNAcOAc,C[C@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](NC(C)=O)C(O)O1
SugOAc,OC1OC(CO)C(O)C(O)C1OC(C)=O
GlcNOVac,OC(O1)[C@H](N)[C@@H](O)[C@H](OC(CCCCCCCCC/C=C/CCCCCC)=O)[C@H]1CO
Xluf,OCC1([C@H]([C@@H](CO1)O)O)O
AraOMe,OC1[C@H](O)[C@@H](O)[C@@H](OC)CO1
ArafOMe,OC(O1)[C@H](O)[C@@H](OC)[C@@H]1CO
Rha-ol,C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO
PseNAcNGro,C[C@H](O)[C@H](NCC(O)CO)[C@H]1[C@@H](NC(C)=O)[C@@H](O)C[C@](C(O)=O)(O)O1
DDManHepOEtn,OC(O1)[C@@H](OCCN)[C@@H](O)[C@H](O)[C@H]1[C@H](O)CO
QuiNAcOP,C[C@@H]1[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](NC(C)=O)C(O)O1
EryHex,OC(O1)[C@H](O)[C@H](O)C(O)C1CO
BoiOMe,OC1C[C@H](OC)[C@@H](O)[C@@H](C)O1
GalNAcASer,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@@H](OC([C@@H](N)CO)=O)[C@H]1C(O)=O
GlcNAcNAlaFo,OC(O1)[C@H](NC(C)=O)[C@@H](N)[C@H](OC([C@@H](NC=O)C)=O)[C@H]1CO
GlcAOPy,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1OC(C(C)=O)=O
GalfOPGro,OC(O1)[C@H](O)[C@@H](O)[C@@H]1[C@H](O)COP(O)(OCC(O)CO)=O
RhaGro,C[C@H]1[C@H](O)[C@@H](O)[C@@H](OCC(O)CO)C(O)O1
"2,3-Anhydro-Man",O=C[C@H]1O[C@H]1[C@H](O)[C@H](O)CO
ManOctUlo,OC1([C@H]([C@H]([C@@H]([C@H](O1)C(O)CO)O)O)O)CO
NeuNGcOS,O=C(O)C1(O)O[C@@H]([C@H](O)[C@H](OS(=O)(O)=O)CO)[C@H](NC(CO)=O)[C@@H](O)C1
Altf,OC(O1)[C@H](O)[C@@H](O)[C@@H]1[C@@H](O)CO
AltAN,N[C@H]1C(O)O[C@@H](C(O)=O)[C@H](O)[C@@H]1O
Alt,OC(O1)[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1CO
NeuNAcOAcOMe,O=C(OC(C)=O)C1(O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(C)=O)[C@@H](OC)C1
GalOAcNAmA,OC1O[C@@H]([C@@H]([C@@H]([C@H]1NC(C)=N)O)OC(C)=O)C(O)=O
3dLyxHepUlosaric,OC1(C(O)=O)C[C@H](O)[C@H](O)[C@H](C(O)=O)O1
L-QuiOMeN,C[C@H]1[C@H](N)[C@@H](O)[C@H](OC)C(O)O1
FucNAcOMe,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)OC)O)NC(C)=O
LyxOMe,OC1[C@@H](OC)[C@@H](O)[C@H](O)CO1
L-Gul,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1CO
QuiNAcNAspAc,C[C@@H]1[C@@H](OC([C@@H](NC(C)=O)CC(O)=O)=O)[C@H](N)[C@@H](NC(C)=O)C(O)O1
L-Fru,OCC1(O)[C@H](O)[C@@H](O)[C@@H](O)CO1
GalfOLac,OC(O1)[C@H](OC(C(O)C)=O)[C@@H](O)[C@@H]1[C@H](O)CO
GalOFoAN,N[C@H]1C(O)O[C@H](C(O)=O)[C@H](OC=O)[C@@H]1O
D-IdoOSA,OC1O[C@H](C(O)=O)[C@H](O)[C@@H](O)[C@@H]1OS(=O)(O)=O
NeuNGcN,O=C(N)C1(O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(CO)=O)[C@@H](O)C1
L-EryCMeOH,OC1[C@@H](O)[C@@H](CCO)CO1
GlcGroA,OC1O[C@@H]([C@H]([C@@H]([C@H]1OC(C(CO)O)=O)O)O)CO
LDManHepOPOMe,OC1O[C@@H]([C@H]([C@@H]([C@@H]1OC)O)OP(O)(O)=O)[C@@H](O)CO
Thre-onic,OC([C@H](O)[C@@H](O)CO)=O
ManOMeA,O[C@@H]1C(O)O[C@H](C(OC)=O)[C@@H](O)[C@@H]1O
D-FucNLac,C[C@@H]1[C@H](O)[C@H](O)[C@@H](NC(C(O)C)=O)C(O)O1
GlcNOSte,OC(O1)[C@H](N)[C@@H](O)[C@H](OC(CCCCCCCCCCCCCCCCC)=O)[C@H]1CO
QuiNAla,C[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)OC([C@@H](C)N)=O)N)O
"3,6-Anhydro-L-GalOMe",O=C[C@H]([C@H]1[C@@H]([C@H](CO1)O)O)OC
GlcOEtnN,OC(O1)[C@H](N)[C@@H](O)[C@H](OCCN)[C@H]1CO
QuiNAcNAm,C[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)NC(C)=O)O)NC(C)=N
GlcNOMar,OC(O1)[C@H](N)[C@@H](O)[C@H](OC(CCCCCCCCCCCCCCCC)=O)[C@H]1CO
a-Tri-onic,OCC(O)C(O)=O
D-RhaNButOMe,C[C@@H]1[C@@H](OC)[C@H](O)[C@H](NC(CCC)=O)C(O)O1
D-RhaNBut,C[C@H]1[C@H](O)[C@@H](O)[C@@H](NC(CCC)=O)C(O)O1
D-6dTalOAcOMe,C[C@@H]1[C@H](O)[C@H](OC)[C@H](OC(C)=O)C(O)O1
GlcNAcOMeA,OC1O[C@H](C(O)=O)[C@@H](OC)[C@H](O)[C@H]1NC(C)=O
XylOAc,OC1[C@H](O)[C@@H](O)[C@H](OC(C)=O)CO1
D-6dAltHep,OC(O1)[C@@H](O)[C@H](O)[C@H](O)[C@H]1CCO
L-LyxHexOMe,OC(O1)[C@H](O)[C@H](OC)[C@@H](O)C1CO
HexN,OC(O1)C(N)C(O)C(O)C1CO
D-4dXylHex,OC(O1)[C@H](O)[C@@H](O)C[C@H]1CO
LDManHepOPPEtnOPyrP,OC(O1)[C@@H](OP(OP(OCCN)(O)=O)(O)=O)[C@@H](O)[C@H](OC(C(OP(O)(O)=O)=C)O2)[C@H]1[C@@H]2CO
FucNBut,C[C@H]1[C@@H](O)[C@@H](O)[C@H](NC(CCC)=O)C(O)O1
L-Ribf,OC(O1)[C@@H](O)[C@@H](O)[C@@H]1CO
D-AraN,OC1[C@@H](O)[C@H](O)[C@H](N)CO1
GalOAcOP,OC(O1)[C@H](OC(C)=O)[C@@H](O)[C@@H](O)[C@H]1COP(O)(O)=O
GalNAcOPEtn,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@@H](O)[C@H]1COP(OCCN)(O)=O
GlcNAcOAcOCmOPam,OC(O1)[C@H](NC(C)=O)[C@@H](OC(C)=O)[C@H](OC(N)=O)[C@H]1COC(CCCCCCCCCCCCCCC)=O
Gul,OC(O1)[C@H](O)[C@H](O)[C@@H](O)[C@H]1CO
8eLegNAcNAcGro,C[C@@H]([C@H]([C@H]1[C@@H]([C@H](C[C@](O)(O1)C(OCC(O)CO)=O)O)NC(C)=O)NC(C)=O)O
L-OleOAc,C[C@H]1[C@H](OC(C)=O)[C@@H](OC)CC(O)O1
D-FucOEtn,C[C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)OCCN)O)O
D-RhaOMeN,C[C@@H]1[C@@H](N)[C@H](O)[C@H](OC)C(O)O1
PseNAcNAm,C[C@@H]([C@@H]([C@H]1[C@H]([C@H](C[C@](O)(O1)C(O)=O)O)NC(C)=O)NC(C)=N)O
KdoOPOPEtn,O=C(O)C1(O)O[C@H]([C@H](OP(OCCN)(O)=O)CO)[C@H](O)[C@H](OP(O)(O)=O)C1
LDGalHep,OC(O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1[C@@H](O)CO
ManOPOPyr-ol,OC[C@@H](OP(O)(O)=O)[C@@H](O)[C@H]1[C@H](O)COC(C(C)=O)O1
GlcNAcOPEtn,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1COP(OCCN)(O)=O
GalOAcAThr,C[C@@H](O)[C@H](N)C(O[C@H]([C@@H]1O)[C@@H](C(O)=O)OC(O)[C@@H]1OC(C)=O)=O
QuiNMal,C[C@@H]1[C@@H](O)[C@H](O)[C@@H](NC(CC(O)=O)=O)C(O)O1
aldehyde-Gro,OCC(O)C=O
ArafOS,OC(O1)[C@H](O)[C@@H](OS(=O)(O)=O)[C@@H]1CO
GlcOPam,OC(O1)[C@H](OC(CCCCCCCCCCCCCCC)=O)[C@@H](O)[C@H](O)[C@H]1CO
Fuc-ol,OC[C@H]([C@@H]([C@@H]([C@H](C)O)O)O)O
RibOAc,OC1[C@H](OC(C)=O)[C@H](O)[C@H](O)CO1
6dManHep,OC(O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1CCO
AcoNAc,C[C@@H]1[C@@H](O)[C@H](OC)[C@H](NC(C)=O)C(O)O1
RhaOFer,C[C@H]1[C@H](O)[C@@H](O)[C@@H](OC(/C=C/C2=CC(OC)=C(O)C=C2)=O)C(O)O1
GlcOBz,OC(O1)[C@H](OC(C2=CC=CC=C2)=O)[C@@H](O)[C@H](O)[C@H]1CO
Ami,C[C@H]1[C@@H](O)CCC(O)O1
PseNAcOAcNBut,C[C@@H]([C@@H]([C@H]1[C@H]([C@H](C[C@](O)(O1)C(OC(C)=O)=O)O)NC(C)=O)NC(CCC)=O)O
ManOEtn,OC(O1)[C@@H](OCCN)[C@@H](O)[C@H](O)[C@H]1CO
KdoOS,O=C(C1(O[C@@H]([C@@H]([C@@H](C1)O)O)[C@@H](CO)O)O)OS(O)(=O)=O
L-GulNAcOAc,CC(N[C@H]1[C@@H](OC(C)=O)[C@H](O)[C@H](CO)OC1O)=O
L-GulNAc,CC(N[C@H]1[C@@H](O)[C@H](O)[C@H](CO)OC1O)=O
GalOAcOFoA,OC1O[C@H](C(O)=O)[C@H](OC=O)[C@H](O)[C@H]1OC(C)=O
D-6dManHepOAc,OC1O[C@H](CCO)[C@@H](O)[C@H](O)[C@@H]1OC(C)=O
GlcNAcOAcOOle,OC(O1)[C@H](NC(C)=O)[C@@H](OC(C)=O)[C@H](OC(CCCCCCC/C=C/CCCCCCCC)=O)[C@H]1CO
GlcNAcI,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1CI
RhaOS,C[C@H]1[C@H](O)[C@@H](O)[C@@H](OS(O)(=O)=O)C(O)O1
L-GulNAcOAcAN,OC1O[C@@H](C(O)=O)[C@@H](N)[C@H](OC(C)=O)[C@@H]1NC(C)=O
PseNAcNBut,C[C@H](O)[C@H](NC(CCC)=O)[C@H]1[C@@H](NC(C)=O)[C@@H](O)C[C@](C(O)=O)(O)O1
LegNAcNBut,C[C@@H](O)[C@@H](NC(CCC)=O)[C@H]1[C@H](NC(C)=O)[C@@H](O)C[C@](C(O)=O)(O)O1
GalOAcN,OC1O[C@H](COC(C)=O)[C@H](O)[C@H](O)[C@H]1N
D-AraHexUloOMe,OC1(COC)[C@@H](O)[C@H](O)[C@H](O)CO1
GlcOAcNOPam,OC(O1)[C@H](N)[C@@H](OC(C)=O)[C@H](OC(CCCCCCCCCCCCCCC)=O)[C@H]1CO
8eLegNAcNBut,C[C@H](O)[C@@H](NC(CCC)=O)[C@H]1[C@H](NC(C)=O)[C@@H](O)C[C@](C(O)=O)(O)O1
D-FucOS,C[C@@H]1[C@H](O)[C@H](OS(=O)(O)=O)[C@@H](O)C(O)O1
D-FucfOAc,C[C@@H](O)[C@H]1[C@H](O)[C@@H](OC(C)=O)C(O)O1
D-6dManHep,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1CCO
L-GlcA,O[C@@H]1C(O)O[C@@H](C(O)=O)[C@H](O)[C@H]1O
EryOMe-onic,OC[C@@H](O)[C@@H](OC)C(O)=O
L-Fruf,OCC(O1)(O)[C@H](O)[C@@H](O)[C@@H]1CO
D-AraHepUlo-onic,OC1(C(O)=O)[C@@H](O)[C@H](O)[C@H](O)C(CO)O1
DigCMe,C[C@@H]1[C@@H](O)[C@@H](CC)CC(O)O1
ManNonUloNAc-onic,OC1(C(O)=O)[C@@H](O)[C@@H](O)[C@H](NC(C)=O)[C@@H](C(O)C(O)CO)O1
FucOP,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)OP(O)(O)=O)O)O
GlcNAcGly,OC1O[C@H](CO)[C@@H](OC(CN)=O)[C@H](O)[C@H]1NC(C)=O
RhaOPGro,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)OP(O)(OCC(O)CO)=O)O)O
XylNAc,OC1[C@H](NC(C)=O)[C@@H](O)[C@H](O)CO1
FrufOBzOCin,OC(O1)(COC(C2=CC=CC=C2)=O)[C@@H](OC(/C=C/C3=CC=CC=C3)=O)[C@H](O)[C@H]1CO
GlcNAcOPEtg,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](OP(OCCO)(O)=O)[C@H]1CO
8eLegNAc,C[C@H](O)[C@@H](NC(C)=O)[C@H]1[C@H](N)[C@@H](O)C[C@](C(O)=O)(O)O1
DDManHepOPEtn,OC(O1)[C@@H](OP(OCCN)(O)=O)[C@@H](O)[C@H](O)[C@H]1[C@H](O)CO
GlcNButAN,N[C@H]1C(O)O[C@H](C(O)=O)[C@@H](NC(CCC)=O)[C@@H]1O
LegNAcNAm,C[C@H]([C@H]([C@H]1[C@@H]([C@H](C[C@](O)(O1)C(O)=O)O)NC(C)=O)NC(C)=N)O
GalOAcOPyr,OC1O[C@H]2[C@@H]([C@@H]([C@H]1OC(C)=O)O)OC(C(C)=O)OC2
GalOctUloNAc-onic,OC1([C@@H]([C@H]([C@H]([C@H](O1)C(O)CO)NC(C)=O)O)O)C(O)=O
aldehyde-Rib,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O
D-FucNAcOP,C[C@@H]1[C@H](OP(O)(O)=O)[C@H](O)[C@@H](NC(C)=O)C(O)O1
BacNAc,C[C@@H]1[C@@H](N)[C@H](O)[C@@H](NC(C)=O)C(O)O1
QuiNHse,C[C@@H]1[C@@H](O)[C@H](O)[C@@H](NC(C(N)CCO)=O)C(O)O1
D-RhaNAcOAc,C[C@@H]1[C@@H](OC(C)=O)[C@H](O)[C@H](NC(C)=O)C(O)O1
L-6dXylHexNAc4Ulo,O=C[C@@H](NC(C)=O)[C@H](O)C([C@@H](O)C)=O
RhaOP,C[C@H]1[C@H](O)[C@@H](O)[C@@H](OP(O)(O)=O)C(O)O1
GalCl,OC(O1)[C@H](O)[C@@H](O)[C@@H](Cl)[C@H]1CO
GlcOAcOOle,OC(O1)[C@H](OC(C)=O)[C@@H](O)[C@H](OC(CCCCCCC/C=C/CCCCCCCC)=O)[C@H]1CO
Ara-ol,OC[C@H](O)C(O)[C@@H](O)CO
RhaOMeCMeNLac,C[C@H]1[C@H](CC)[C@@H](OC)[C@@H](NC(C(O)C)=O)C(O)O1
RhaOAcOMe,C[C@H]1[C@H](OC)[C@@H](O)[C@@H](OC(C)=O)C(O)O1
QuiNThrAc,C[C@@H]1[C@@H](O)[C@H](N)[C@@H](OC([C@@H](NC(C)=O)[C@H](O)C)=O)C(O)O1
L-TheOAc,C[C@H]1[C@H](O)[C@@H](OC)[C@H](OC(C)=O)C(O)O1
GlcNCmOCmOOle,OC(O1)[C@H](NC(N)=O)[C@@H](OC(N)=O)[C@H](OC(CCCCCCC/C=C/CCCCCCCC)=O)[C@H]1CO
FrufOAc,OC(O1)(COC(C)=O)[C@@H](O)[C@H](O)[C@H]1CO
GlcNAcANAlaAc,OC(O1)[C@H](NC(C)=O)[C@@H](N)[C@H](OC([C@@H](NC(C)=O)C)=O)[C@H]1C(O)=O
GlcNCmOVac,OC(O1)[C@H](NC(N)=O)[C@@H](O)[C@H](OC(CCCCCCCCC/C=C/CCCCCC)=O)[C@H]1CO
GalfNAc,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@@H]1[C@H](O)CO
DLGlcHepOMe,OC(O1)[C@@H](OC)[C@H](O)[C@@H](O)[C@@H]1[C@H](O)CO
D-FucNMeN,C[C@@H]1[C@H](NC)[C@H](O)[C@@H](N)C(O)O1
GlcOAcGro,OC1O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]1OCC(O)CO
"2,5-Anhydro-D-AltOS",O[C@@H]1[C@@H](CO)O[C@H](C=O)[C@@H]1OS(=O)(O)=O
L-AcoOMeOFo,C[C@H]1[C@H](OC=O)[C@@H](OC)[C@@H](OC)C(O)O1
GlcNAm,OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=N
RibOPEtn-ol,OC[C@H](O)[C@H](O)[C@H](O)COP(OCCN)(O)=O
4dEry-ol,C[C@@H](O)[C@@H](O)CO
D-9dThrAltNon-onic,OC1([C@H]([C@@H]([C@@H]([C@@H](O1)[C@H]([C@@H](C)O)O)O)O)O)C(O)=O
GlcNAcOLac,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](OC(C(C)O)=O)[C@H]1CO
"4,8-Anhydro-LDGlcOct",O=C[C@@H]([C@H]([C@H]1[C@H]([C@@H]([C@H](CO1)O)O)O)O)O
GlcNAcOLacAla,O=C(O[C@@H]([C@H](OC(C(O)C)=O)[C@@H](NC(C)=O)C(O)O1)[C@H]1CO)[C@H](N)C
"aldehyde-2,5-Anhydro-Tal",O[C@H]1[C@H](O[C@@H]([C@H]1O)C=O)CO
FrufN,OCC(O1)(O)[C@@H](O)[C@H](O)[C@H]1CN
6dTalNAcOAc,C[C@H]1[C@@H](OC(C)=O)[C@@H](O)[C@@H](NC(C)=O)C(O)O1
DLAltNonUloNAc-onic,OC1([C@@H]([C@H]([C@H]([C@@H](O1)[C@H](C(CO)O)O)NC(C)=O)O)O)C(O)=O
D-AraOS,OC1[C@@H](O)[C@H](O)[C@H](OS(=O)(O)=O)CO1
LegNAcNAla,C[C@@H](O)[C@@H](N)[C@H]1[C@H](NC(C)=O)[C@@H](OC([C@@H](N)C)=O)C[C@](O1)(C(N)=O)O
D-FucNFo,C[C@@H]1[C@H](O)[C@H](O)[C@@H](NC=O)C(O)O1
Glcf,OC(O1)[C@H](O)[C@@H](O)[C@H]1[C@H](O)CO
L-GalNAcOAcA,OC1O[C@@H](C(O)=O)[C@@H](OC(C)=O)[C@@H](O)[C@@H]1NC(C)=O
D-6dXylHexOMe,CC1[C@H]([C@@H]([C@H](C(O1)O)OC)O)O
D-FucOAcOBut,C[C@@H]1[C@H](OC(CCC)=O)[C@H](O)[C@@H](OC(C)=O)C(O)O1
DLGalNonUloNAc-onic,OC1([C@H]([C@@H]([C@@H]([C@@H](O1)[C@@H](C(CO)O)O)NC(C)=O)O)O)C(O)=O
D-RhaOS,C[C@@H]1[C@@H](O)[C@H](O)[C@H](OS(O)(=O)=O)C(O)O1
LegNFo,C[C@@H](O)[C@@H](N)[C@H]1[C@H](NC=O)[C@@H](O)C[C@](C(O)=O)(O)O1
GlcOEtn,OC(O1)[C@H](OCCN)[C@@H](O)[C@H](O)[C@H]1CO
GalAOPyr,OC1O[C@@H]2C(OC(O[C@@H]2[C@H](O)[C@H]1O)C(C)=O)=O
QuiNAlaBut,C[C@@H]1[C@@H](O)[C@H](N)[C@@H](OC([C@@H](NC(CCC)=O)C)=O)C(O)O1
1dAlt-ol,C[C@@H]([C@H]([C@H]([C@H](CO)O)O)O)O
AllOAc,OC1O[C@H](CO)[C@@H](O)[C@@H](OC(C)=O)[C@H]1O
PseNAcOBut,C[C@@H]([C@@H]([C@H]1[C@H]([C@H](C[C@](O)(O1)C(OC(CCC)=O)=O)O)NC(C)=O)N)O
GlcNAcGlu,OC1O[C@H](CO)[C@@H](OC([C@H](N)CCC(O)=O)=O)[C@H](O)[C@H]1NC(C)=O
GlcNAcOLacGro,OC(O1)[C@H](NC(C)=O)[C@@H](OC(C(C)O)=O)[C@H](OCC(CO)O)[C@H]1CO
GalfOMe,OC(O1)[C@H](O)[C@@H](O)[C@@H]1[C@H](OC)CO
Tag,OC1(CO)[C@@H](O)[C@@H](O)[C@H](O)CO1
L-ThrHexOMe4en,OC1[C@H](OC)[C@@H](O)C(O)=C(CO)O1
"4,7-Anhydro-KdoOPEtn",O=C(C(C[C@@H]1[C@@H]([C@H]([C@@H](CO)O1)O)OP(OCCN)(O)=O)=O)O
GlcNOCmOAch,OC(O1)[C@H](N)[C@@H](OC(N)=O)[C@H](OC(CCCCCCCCCCCCCCCCCCC)=O)[C@H]1CO
D-6dAlt,C[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)C(O)O1
6dGul,C[C@@H]1[C@H](O)[C@@H](O)[C@@H](O)C(O)O1
DLGalNonUloNAcN-onic,OC1([C@H]([C@@H]([C@@H]([C@@H](O1)[C@@H](C(CO)O)NC(C)=O)N)O)O)C(O)=O
GlcNAcNAla,OC(O1)[C@H](NC(C)=O)[C@@H](N)[C@H](OC([C@H](N)C)=O)[C@H]1CO
GlcOSOMeA,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](OC)[C@H]1OS(=O)(O)=O
IdoOAcOSA,OC1O[C@H]([C@H]([C@@H]([C@H]1OS(O)(=O)=O)OC(C)=O)O)C(O)=O
L-QuiNAcOMe,C[C@H]1[C@H](OC)[C@@H](NC(C)=O)[C@H](O)C(O)O1
GlcNAcOPGroA,OC1O[C@@H]([C@H]([C@@H]([C@H]1NC(C)=O)O)O)COP(O)(OCC(O)C(O)=O)=O
GlcOAcNMeOCm,OC(O1)[C@H](NC)[C@@H](OC(C)=O)[C@H](OC(N)=O)[C@H]1CO
6dTalf,C[C@@H](O)[C@H]1[C@H](O)[C@H](O)C(O)O1
GalAOLac,OC1O[C@H](C(O)=O)[C@H](O)[C@H](O)[C@H]1OC(C(O)C)=O
GulAN,N[C@H]1C(O)O[C@H](C(O)=O)[C@H](O)[C@H]1O
GlcOPChoGro,OC(O1)[C@H](OCC(O)CO)[C@@H](O)[C@H](OP(O)(OCC[N+](C)(C)C)=O)[C@H]1CO
LyxOctUlo-onic,OC1(C(O)=O)[C@@H](O)[C@@H](O)[C@H](O)C(C(CO)O)O1
FucNAcOPGro,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)NC(C)=O)O)OP(O)(OCC(O)CO)=O
Glc6Ulo,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1C=O
GlcNAcOAcN,OC(O1)[C@H](NC(C)=O)[C@@H](OC(C)=O)[C@H](N)[C@H]1CO
GlcNGc,OC(O1)[C@H](NC(CO)=O)[C@@H](O)[C@H](O)[C@H]1CO
D-Alt,OC(O1)[C@@H](O)[C@H](O)[C@H](O)[C@H]1CO
GlcNOPyr,OC1O[C@@H]2COC(C(C)=O)O[C@H]2[C@@H]([C@H]1N)O
QuiNAcNGroA,C[C@@H]1[C@@H](OC(C(O)CO)=O)[C@H](N)[C@@H](NC(C)=O)C(O)O1
GlcNAcOAcOLac,OC(O1)[C@H](NC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C(O)C)=O)[C@H]1CO
GlcNMeOSte,OC(O1)[C@H](NC)[C@@H](O)[C@H](OC(CCCCCCCCCCCCCCCCC)=O)[C@H]1CO
GlcNAcOAcOS-ol,OC[C@H](NC(C)=O)[C@@H](O)[C@H](OC(C)=O)[C@H](O)COS(=O)(O)=O
GlcNAcOAcOVac,OC(O1)[C@H](NC(C)=O)[C@@H](OC(C)=O)[C@H](OC(CCCCCCCC/C=C/CCCCCC)=O)[C@H]1CO
D-ThrHexfNAc2en,OC(O1)C(NC(C)=O)=C(O)[C@@H]1[C@H](O)CO
GlcOFoN,OC(O1)[C@H](N)[C@@H](O)[C@H](OC=O)[C@H]1CO
GalfGro,OC(O1)[C@H](OCC(O)CO)[C@@H](O)[C@@H]1[C@H](O)CO
6dTalNAc,C[C@H]1[C@@H](O)[C@@H](O)[C@@H](NC(C)=O)C(O)O1
QuiNAcOBut,C[C@@H]1[C@@H](OC(CCC)=O)[C@H](O)[C@@H](NC(C)=O)C(O)O1
L-GulNAcAN,OC1O[C@H](C(O)=O)[C@H](O)[C@@H](N)[C@H]1NC(C)=O
ManSH,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1CS
D-4dThrHexOAcN4en,OC1[C@@H](N)[C@H](OC(C)=O)C=C(CO)O1
GlcOAcNCmOVac,OC1O[C@H](CO)[C@@H](OC(CCCCCCCCC/C=C/CCCCCC)=O)[C@H](OC(C)=O)[C@H]1NC(N)=O
L-QuiNAcOP,C[C@H]1[C@H](OP(O)(O)=O)[C@@H](O)[C@H](NC(C)=O)C(O)O1
GlcOAcOPam,OC(O1)[C@H](OC(C)=O)[C@@H](O)[C@H](OC(CCCCCCCCCCCCCCC)=O)[C@H]1CO
aldehyde-L-GroN,O=C[C@@H](N)CO
D-ArafN,OC(O1)[C@@H](N)[C@H](O)[C@H]1CO
L-GalNAcAN,OC1O[C@@H](C(O)=O)[C@@H](N)[C@@H](O)[C@@H]1NC(C)=O
KdoOPyr,O=C(O)C1(O)O[C@@H]2[C@H](OC(O[C@@H]2[C@H](O)C1)C(C)=O)CO
ManOBut,OC(O1)[C@@H](OC(CCC)=O)[C@@H](O)[C@H](O)[C@H]1CO
GlcAGro,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1OCC(O)CO
GalfOPCho,OC(O1)[C@H](O)[C@@H](O)[C@@H]1[C@H](O)COP(O)(OCC[N+](C)(C)C)=O
XylHexUloNAc,OCC1([C@@H]([C@H]([C@@H](CO1)O)O)O)NC(C)=O
D-FucOMeN,C[C@@H]1[C@H](OC)[C@H](O)[C@@H](N)C(O)O1
ManOPCho,OC1O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)COP(O)(OCC[N+](C)(C)C)=O
D-6dAraHex,CC1[C@@H](O)[C@@H](O)[C@H](O)C(O)O1
D-6dAllOMe,C[C@@H]1[C@@H](O)[C@@H](O)[C@@H](OC)C(O)O1
LDManHepOPEtnOEtn,OC1O[C@H]([C@H](COCCN)OP(OCCN)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O
L-GlcNAc,OC(O1)[C@@H](NC(C)=O)[C@H](O)[C@@H](O)[C@@H]1CO
"2,5-Anhydro-Man-ol",OC[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
ManNAcAGro,OC1O[C@H](CO)[C@@H](OCC(O)CO)[C@H](O)[C@@H]1NC(C)=O
